node_id_org,node_id_dest,distance,signal,highway,max_speed,lanes,width,bridge,tunnel,surface,service,foot,bicycle
5384682226,1377319210,45.870598,0,"residential",,,,,,,,,,
1389149931,5384682221,46.387017,0,"residential",,,,,,,,,,
1377319210,5384682226,45.870598,0,"residential",,,,,,,,,,
1389149861,1377319021,144.899309,0,"unclassified",,,,,,,,,,
1377319099,1389149871,24.169062,0,"unclassified",,,,,,,,,,
1389149871,1377319099,24.169062,0,"unclassified",,,,,,,,,,
1389149861,1377319099,24.416489,0,"unclassified",,,,,,,,,,
1377319099,1389149861,24.416489,0,"unclassified",,,,,,,,,,
1389149822,3289965276,57.957409,0,"unclassified",,,,,,,,,,
3289965276,1377319021,18.510696,0,"unclassified",,,,,,,,,,
3289965276,1389149822,57.957409,0,"unclassified",,,,,,,,,,
1377319021,3289965276,18.510696,0,"unclassified",,,,,,,,,,
5384682189,1389149940,53.021196,0,"unclassified",,,,,,,,,,
1389149940,5384682189,53.021196,0,"unclassified",,,,,,,,,,
1389149940,1389149959,14.012661,0,"unclassified",,,,,,,,,,
1389149959,1389149940,14.012661,0,"unclassified",,,,,,,,,,
1389149959,5384682211,37.778825,0,"unclassified",,,,,,,,,,
5384682211,1389149959,37.778825,0,"unclassified",,,,,,,,,,
1377319113,1377319069,118.51793900000001,0,"unclassified",,,,,,,,,,
1377319069,1377319113,118.51793900000001,0,"unclassified",,,,,,,,,,
1377319099,1377319047,115.835946,0,"unclassified",,,,,,,,,,
1377319047,1377319099,115.835946,0,"unclassified",,,,,,,,,,
3191479917,1377319121,87.141663,0,"unclassified",,,,,,,,,,
1377319121,3191479917,87.141663,0,"unclassified",,,,,,,,,,
5384944056,5384682199,93.044172,0,"unclassified",,,,,,,,,,
5384682199,5384944056,93.044172,0,"unclassified",,,,,,,,,,
5384681800,1377319432,138.84664199999997,0,"unclassified",,,,,,,,,,
1377318884,1377318985,192.33415499999998,0,"unclassified",,,,,,,,,,
1377319373,5384682192,206.575174,0,"unclassified",,,,,,,,,,
5384682192,1377319373,206.575174,0,"unclassified",,,,,,,,,,
5384682187,1377319255,31.760008,0,"unclassified",,,,,,,,,,
1377319255,5384682187,31.760008,0,"unclassified",,,,,,,,,,
5384943916,1381355556,81.196804,0,"unclassified",,,,,,,,,,
5384943916,5384943911,48.387375000000006,0,"unclassified",,,,,,,,,,
5384943911,5384943916,48.387375000000006,0,"unclassified",,,,,,,,,,
309414246,1389149957,66.99377799999999,0,"trunk",,,,,,,,,,
1381491195,599892655,287.18116,0,"tertiary",,,,,,,,,,
4544597794,1381355754,104.853258,0,"residential",,,,,,,,,,
1381355754,4544597794,104.85325799999998,0,"residential",,,,,,,,,,
4544594961,1381355637,68.52877,0,"unclassified",,,,,,,,,,
1381355637,4544594961,68.52877000000001,0,"unclassified",,,,,,,,,,
1381491195,1381491170,244.14799999999997,0,"unclassified",,,,,,,,,,
800055442,5384942997,276.682918,0,"residential",,,,,,,,,,
1381355809,5384681752,114.85108,0,"unclassified",,,,,,,,,,
5384681752,1381355809,114.85108,0,"unclassified",,,,,,,,,,
1381355821,3289965319,60.03279,0,"unclassified",,,,,,,,,,
3289965319,1381355821,60.03279,0,"unclassified",,,,,,,,,,
1381355708,5384681745,135.937339,0,"tertiary",,,,,,,,,,
1381355743,5384681744,138.038187,0,"unclassified",,,,,,,,,,
5384943906,4544594962,104.43638000000001,0,"unclassified",,,,,,,,,,
4544594962,5384943906,104.43637999999999,0,"unclassified",,,,,,,,,,
4544594962,1381355683,66.592787,0,"unclassified",,,,,,,,,,
1381355525,1389149938,117.16574,0,"unclassified",,,,,,,,,,
1389149938,1381355525,117.16573999999999,0,"unclassified",,,,,,,,,,
5384943910,1389149968,95.26569999999998,0,"unclassified",,,,,,,,,,
1389149968,5384943910,95.26569999999998,0,"unclassified",,,,,,,,,,
5384943732,1381355908,53.621632000000005,0,"unclassified",,,,,,,,,,
5384943732,5384943734,18.179629,0,"unclassified",,,,,,,,,,
5384943734,5384943732,18.179629,0,"unclassified",,,,,,,,,,
5384943734,1381355851,96.79024299999999,0,"unclassified",,,,,,,,,,
1381355851,5384943734,96.79024299999999,0,"unclassified",,,,,,,,,,
3289965308,4544594963,165.04596899999999,0,"tertiary",,,,,,,,,,
4544594963,3289965308,165.045969,0,"tertiary",,,,,,,,,,
5384943784,309414272,52.042889,0,"tertiary",,,,,,,,,,
5384943784,1381355754,86.547747,0,"tertiary",,,,,,,,,,
1381355821,5384943838,95.644767,0,"unclassified",,,,,,,,,,
5384943838,1381355821,95.644767,0,"unclassified",,,,,,,,,,
5384943838,5384681744,90.63111599999999,0,"unclassified",,,,,,,,,,
5384681744,5384943838,90.631116,0,"unclassified",,,,,,,,,,
5384681744,1381355743,138.038187,0,"unclassified",,,,,,,,,,
1381355785,5384663774,63.912358,0,"tertiary",,,,,,,,,,
5384663774,1381355785,63.912358,0,"tertiary",,,,,,,,,,
5384663774,4544597795,35.356080000000006,0,"tertiary",,,,,,,,,,
4544597795,5384663774,35.356080000000006,0,"tertiary",,,,,,,,,,
5384663775,5384681736,46.385146999999996,0,"tertiary",,,,,,,,,,
5384681736,5384663775,46.385146999999996,0,"tertiary",,,,,,,,,,
5384681736,5384681740,19.595032,0,"tertiary",,,,,,,,,,
5384681740,5384681736,19.595032,0,"tertiary",,,,,,,,,,
5384681745,1381355708,135.937339,0,"tertiary",,,,,,,,,,
1381382590,309414246,68.410481,0,"unclassified",,,,,,,,,,
4771458844,1381464422,123.89747799999999,0,"unclassified",,,,,,,,,,
1381464399,4771458845,14.710037,0,"unclassified",,,,,,,,,,
4771458845,1381464399,14.710037,0,"unclassified",,,,,,,,,,
1381491164,1381491165,121.198363,0,"unclassified",,,,,,,,,,
1389149861,1389149845,115.356784,0,"unclassified",,,,,,,,,,
1389149845,1389149861,115.356784,0,"unclassified",,,,,,,,,,
1389149978,1381382751,66.875068,0,"unclassified",,,,,,,,,,
1389149938,309414237,142.055642,0,"unclassified",,,,,,,,,,
2645279199,1381382853,57.730323,0,"tertiary",,"1",,,,,,,,
2645279199,2645279204,27.531439,0,"tertiary",,"1",,,,,,,,
2645279204,2645279199,27.531439,0,"tertiary",,"1",,,,,,,,
2645041236,2645041239,8.806338,0,"residential",,,,,,,,,,
2645041239,2645041236,8.806338,0,"residential",,,,,,,,,,
2645041239,2645041246,40.001954,0,"residential",,,,,,,,,,
2645041246,2645041239,40.001954,0,"residential",,,,,,,,,,
2645041238,2645041234,7.048603,0,"residential",,,,,,,,,,
2645041234,2645041238,7.048603,0,"residential",,,,,,,,,,
2645041238,2645041239,61.64836,0,"residential",,,,,,,,,,
2645041239,2645041238,61.64836,0,"residential",,,,,,,,,,
2645882557,2645882562,122.217179,0,"residential",,,,,,,,,,
2645882562,2645882557,122.217179,0,"residential",,,,,,,,,,
2645882557,1381464390,71.829329,0,"unclassified",,,,,,,,,,
1381464390,2645882557,71.829329,0,"unclassified",,,,,,,,,,
3289965276,1377318979,116.791954,0,"residential",,,,,,,,,,
800055442,1377319556,69.62168299999999,0,"tertiary",,,,,,,,,,
1377319556,800055442,69.621683,0,"tertiary",,,,,,,,,,
5384681751,5384681759,71.068336,0,"unclassified",,,,,,,,,,
5384681759,5384681751,71.06833599999999,0,"unclassified",,,,,,,,,,
1381355768,1381355734,151.11119399999998,0,"unclassified",,,,,,,,,,
1381355734,1381355768,151.111194,0,"unclassified",,,,,,,,,,
1377319500,1377319572,111.952314,0,"unclassified",,,,,,,,,,
1377319470,5384681799,82.124541,0,"unclassified",,,,,,,,,,
3289965308,1381355743,115.309264,0,"unclassified",,,,,,,,,,
1381355743,3289965308,115.309264,0,"unclassified",,,,,,,,,,
1377318920,1389149769,21.708222999999997,0,"unclassified",,,,,,,,,,
1389149769,1389149731,219.835181,0,"unclassified",,,,,,,,,,
4771458845,4771458844,52.712713,0,"residential",,,,,,,,,,
4771458844,4771458845,52.712713,0,"residential",,,,,,,,,,
3289965319,5384943817,99.67850899999999,0,"residential",,,,,,,,,,
5384681744,5384681745,114.373054,0,"residential",,,,,,,,,,
5384681745,5384681744,114.373054,0,"residential",,,,,,,,,,
5384681795,800055389,43.391794,0,"residential",,,,,,,,,,
800055389,5384681795,43.391794,0,"residential",,,,,,,,,,
5384682199,5384682200,41.442496,0,"residential",,,,,,,,,,
5384682200,5384682199,41.442496,0,"residential",,,,,,,,,,
5384682211,5384682212,58.055522,0,"residential",,,,,,,,,,
5384682212,5384682211,58.055522,0,"residential",,,,,,,,,,
5384682224,5384682221,106.560332,0,"residential",,,,,,,,,,
5384943732,5384943733,94.686314,0,"residential",,,,,,,,,,
5384943733,5384943732,94.686314,0,"residential",,,,,,,,,,
5384943838,5384943839,109.386177,0,"residential",,,,,,,,,,
5384943839,5384943838,109.386177,0,"residential",,,,,,,,,,
5384944127,5384944132,32.311579,0,"residential",,,,,,,,,,
5384944132,5384944127,32.311579,0,"residential",,,,,,,,,,
5384944148,5384944153,92.513435,0,"residential",,,,,,,,,,
5666810274,1381382367,86.308738,0,"unclassified",,,,,,,,,,
1381382277,1381382322,59.110777,0,"unclassified",,,,,,,,,,
1381382322,1381382277,59.110777,0,"unclassified",,,,,,,,,,
800027805,5655489388,15.407163,0,"unclassified",,,,,,,,,,
2644109897,2337645091,32.638688,0,"unclassified",,,,,,,,,,
5655489387,5655489389,9.703974,1,"tertiary",,,,,,,,,,
5655489389,800027805,33.833984,0,"tertiary",,,,,,,,,,
5655489388,800027805,15.407163,0,"unclassified",,,,,,,,,,
2644109897,5655489388,21.302678,0,"unclassified",,,,,,,,,,
2337645091,2644109897,32.638688,0,"unclassified",,,,,,,,,,
5655489389,5655489387,9.703974,1,"tertiary",,,,,,,,,,
800027805,5655489389,33.833984,1,"tertiary",,,,,,,,,,
800034026,2644109892,99.04445599999998,0,"unclassified",,,,,,,,,,
2644095019,2644095029,27.052689,0,"unclassified",,,,,,,,,,
800034026,1381376734,59.758303,0,"unclassified",,,,,,,,,,
2644109892,800034026,99.044456,0,"unclassified",,,,,,,,,,
2644095019,2644109892,192.05313999999998,0,"unclassified",,,,,,,,,,
2644095029,2644095019,27.052689,0,"unclassified",,,,,,,,,,
1381376734,2644109895,91.449823,0,"unclassified",,,,,,,,,,
2644095019,2644095029,170.29424899999998,0,"residential",,,,,,,,,,
2644095029,2644095019,238.668069,0,"residential",,,,,,,,,,
2644095029,2644095019,170.29424899999998,0,"residential",,,,,,,,,,
2644109895,5655489388,79.060912,0,"residential",,,,,,,,,,
5655489388,2644109895,79.060912,0,"residential",,,,,,,,,,
2644109894,2644109897,91.423696,0,"service",,,,,,,"alley",,,
1381382327,5655470570,27.260447,0,"unclassified",,,,,,,,,,
5655470570,5631438725,30.818569,0,"unclassified",,,,,,,,,,
5631438725,5631438726,33.267461000000004,0,"unclassified",,,,,,,,,,
5631438726,5655470571,50.952512,0,"unclassified",,,,,,,,,,
5655470571,2337645059,25.688611,0,"unclassified",,,,,,,,,,
1377318920,1377318920,163.377691,0,"unclassified",,,,,,,,,,
1377318920,1377318920,163.377691,0,"unclassified",,,,,,,,,,
2645912400,2645912391,63.682062,0,"residential",,,,,,,,,,
2645882559,2645882545,97.65063,0,"residential",,,,,,,,,,
2645882545,2645882559,97.65063,0,"residential",,,,,,,,,,
309420513,309420513,277.977212,0,"unclassified",,,,,,,,,,
2645041238,2645041245,40.358873,0,"residential",,,,,,,,,,
2645041235,2645041243,39.404159,0,"residential",,,,,,,,,,
1381491092,2645279202,59.190664,0,"unclassified",,,,,,,,,,
1381382738,1381382600,111.455115,0,"unclassified",,,,,,,,,,
1381491038,1381491035,39.109703,0,"unclassified",,,,,,,,,,
1381491035,1381491038,39.109703,0,"unclassified",,,,,,,,,,
800034058,1381464306,43.537408,0,"unclassified",,,,,,,,,,
1381464306,800034058,43.537408,0,"unclassified",,,,,,,,,,
5385124088,2645279198,29.22115,0,"unclassified",,,,,,,,,,
2645279198,1381382871,19.618865,0,"unclassified",,,,,,,,,,
5385124088,5385124085,14.464963999999998,0,"unclassified",,,,,,,,,,
2645279198,5385124088,29.22115,0,"unclassified",,,,,,,,,,
1381382871,2645279198,19.618865,0,"unclassified",,,,,,,,,,
1381382809,1381491068,32.772949,0,"unclassified",,,,,,,,,,
1381491068,1381382815,10.95869,0,"unclassified",,,,,,,,,,
1381382815,1381382820,20.065111,0,"unclassified",,,,,,,,,,
1381382740,1381491052,73.911056,0,"unclassified",,,,,,,,,,
1381491052,1381382809,32.82394,0,"unclassified",,,,,,,,,,
1381491068,1381382809,32.772949,0,"unclassified",,,,,,,,,,
1381382815,1381491068,10.95869,0,"unclassified",,,,,,,,,,
1381382820,1381382815,20.065111,0,"unclassified",,,,,,,,,,
1381491052,1381382740,73.911056,0,"unclassified",,,,,,,,,,
1381382809,1381491052,32.82394,0,"unclassified",,,,,,,,,,
2645279210,1381382914,24.006061,0,"unclassified",,,,,,,,,,
1381382902,2645279210,77.140255,0,"unclassified",,,,,,,,,,
1381382843,2645279197,57.428153,0,"unclassified",,,,,,,,,,
2645279197,2645279201,26.112166,0,"unclassified",,,,,,,,,,
2645279201,1381382902,31.576793,0,"unclassified",,,,,,,,,,
1381382914,2645279210,24.006061,0,"unclassified",,,,,,,,,,
2645279210,1381382902,77.140255,0,"unclassified",,,,,,,,,,
2645279197,1381382843,57.428153,0,"unclassified",,,,,,,,,,
2645279201,2645279197,26.112166,0,"unclassified",,,,,,,,,,
1381382902,2645279201,31.576793,0,"unclassified",,,,,,,,,,
5384943807,5384943804,18.37653,0,"unclassified",,,,,,,,,,
5384943804,5384943807,18.37653,0,"unclassified",,,,,,,,,,
5384943804,1381382888,17.660186,0,"unclassified",,,,,,,,,,
1381382888,5384943804,17.660186,0,"unclassified",,,,,,,,,,
1381382902,5384943792,24.227446999999998,0,"unclassified",,,,,,,,,,
5384943792,1381382902,24.227446999999998,0,"unclassified",,,,,,,,,,
1381382888,1381382820,130.300308,0,"unclassified",,,,,,,,,,
1381382820,1381382888,130.300308,0,"unclassified",,,,,,,,,,
1381382888,1381382906,26.613008,0,"unclassified",,,,,,,,,,
1381382906,1381382888,26.613008,0,"unclassified",,,,,,,,,,
1381382906,4527520579,28.27164,0,"unclassified",,,,,,,,,,
4527520579,1381382906,28.27164,0,"unclassified",,,,,,,,,,
4527520579,4527520574,36.406907000000004,0,"unclassified",,,,,,,,,,
4527520574,4527520579,36.406907000000004,0,"unclassified",,,,,,,,,,
4527520574,1381382928,38.615508,0,"unclassified",,,,,,,,,,
1381382928,4527520574,38.615508,0,"unclassified",,,,,,,,,,
1381382809,1381382829,27.849308,0,"unclassified",,,,,,,,,,
1381382829,1381382809,27.849308,0,"unclassified",,,,,,,,,,
1381382829,1381382871,116.16485200000001,0,"unclassified",,,,,,,,,,
1381382421,4771458948,26.474427,0,"unclassified",,,,,,,,,,
4771458948,4771458951,26.628246,0,"unclassified",,,,,,,,,,
4771458951,1381382404,40.163675,0,"unclassified",,,,,,,,,,
4527507626,1381382600,45.346111,0,"unclassified",,,,,,,,,,
1381382573,4527507626,48.66134000000001,0,"unclassified",,,,,,,,,,
1381382600,1381382486,113.913641,0,"unclassified",,,,,,,,,,
4771458948,1381382421,26.474427,0,"unclassified",,,,,,,,,,
4771458951,4771458948,26.628246,0,"unclassified",,,,,,,,,,
4527507626,1381382573,48.66134,0,"unclassified",,,,,,,,,,
1381382404,1381382348,50.514464,0,"unclassified",,,,,,,,,,
1381382348,1381382404,50.514464,0,"unclassified",,,,,,,,,,
1381382404,4771458951,40.163675,0,"unclassified",,,,,,,,,,
2645912379,2645912383,72.845439,0,"unclassified",,,,,,,,,,
2645912383,2645912379,72.845439,0,"unclassified",,,,,,,,,,
2645279250,1381382935,73.093228,0,"unclassified",,,,,,,,,,
2645279250,1381464306,41.386666999999996,0,"unclassified",,,,,,,,,,
1381464306,2645279250,41.386666999999996,0,"unclassified",,,,,,,,,,
1381382815,1381382829,39.958791000000005,0,"unclassified",,,,,,,,,,
1381382829,1381382815,39.958791000000005,0,"unclassified",,,,,,,,,,
1381491052,1381382740,132.323871,0,"residential",,,,,,,,,,
1381382740,1381491052,132.323871,0,"residential",,,,,,,,,,
1381491068,1381491035,63.153754,0,"unclassified",,,,,,,,,,
1381491035,1381491068,63.153754,0,"unclassified",,,,,,,,,,
1381491035,1381491029,80.326842,0,"unclassified",,,,,,,,,,
1381491029,1381491035,80.326842,0,"unclassified",,,,,,,,,,
1381382738,1381491029,25.106603,0,"unclassified",,,,,,,,,,
1381491029,1381382738,25.106603,0,"unclassified",,,,,,,,,,
1381491029,1381491038,28.320044,0,"unclassified",,,,,,,,,,
1381491038,1381491029,28.320044,0,"unclassified",,,,,,,,,,
1381491038,1381382815,61.136687,0,"unclassified",,,,,,,,,,
1381382815,1381491038,61.136687,0,"unclassified",,,,,,,,,,
2645279202,1381491092,59.190664,0,"unclassified",,,,,,,,,,
1381491092,1381382829,55.409106,0,"unclassified",,,,,,,,,,
1381382829,1381491092,55.409106,0,"unclassified",,,,,,,,,,
1381382600,1381382738,111.455115,0,"unclassified",,,,,,,,,,
2337645071,2337645057,51.055931,0,"service",,,,,,,"alley",,,
2337645057,2337645071,51.055931,0,"service",,,,,,,"alley",,,
1381382738,1381382714,113.263325,0,"unclassified",,,,,,,,,,
2645041236,1381531340,47.577291,0,"unclassified",,,,,,,,,,
1381376737,1381376712,36.298724,0,"unclassified",,,,,,,,,,
1381376712,1381376737,36.298724,0,"unclassified",,,,,,,,,,
1381531340,2645041236,47.577291,0,"unclassified",,,,,,,,,,
1389149808,1377318947,66.741272,0,"unclassified",,,,,,,,,,
1377318947,1389149808,66.741272,0,"unclassified",,,,,,,,,,
1389149804,1389149783,67.42414,0,"unclassified",,,,,,,,,,
1389149783,1389149804,67.42414,0,"unclassified",,,,,,,,,,
1389149767,1389149763,23.111114,0,"residential",,,,,,,,,,
1381382753,1381382760,49.788847000000004,0,"unclassified",,,,,,,,,,
