node_id_org,node_id_dest,distance,highway,oneway,max_speed,lanes,width,bridge,tunnel,surface,service,foot,bicycle
1093626410,1116455540,13.275544,unclassified,yes,,2,,,,,,,
1116455540,1093626713,19.790334,unclassified,yes,,2,,,,,,,
1093626713,2848912140,3.168832,unclassified,yes,,2,,,,,,,
2848912140,2848912138,3.215815,unclassified,yes,,2,,,,,,,
2848912138,2848912137,3.339281,unclassified,yes,,2,,,,,,,
2848912137,2848912136,3.199650,unclassified,yes,,2,,,,,,,
2848912136,2848912134,3.370686,unclassified,yes,,2,,,,,,,
2848912134,2848912135,4.471029,unclassified,yes,,2,,,,,,,
2848912135,1093626140,4.583993,unclassified,yes,,2,,,,,,,
1093626140,2848912139,5.676301,unclassified,yes,,2,,,,,,,
2848912139,2848912141,3.010011,unclassified,yes,,2,,,,,,,
2848912141,2848912142,2.812133,unclassified,yes,,2,,,,,,,
2848912142,2848912143,3.071004,unclassified,yes,,2,,,,,,,
2848912143,2848912144,2.929700,unclassified,yes,,2,,,,,,,
2848912144,2848912145,3.297424,unclassified,yes,,2,,,,,,,
2848912145,1093626541,3.431974,unclassified,yes,,2,,,,,,,
1093626541,1116455533,26.610048,unclassified,yes,,2,,,,,,,
1116455533,1093626721,12.035480,unclassified,yes,,2,,,,,,,
1093626721,2235081807,7.632947,unclassified,yes,,2,,,,,,,
1093725403,1093725206,34.974633,unclassified,,,,,,,,,,
1093725206,1093725409,28.520199,unclassified,,,,,,,,,,
1093725409,1093725315,11.557783,unclassified,,,,,,,,,,
1093725315,1093725241,14.169231,unclassified,,,,,,,,,,
1093725480,1177424610,24.781954,footway,,,,,,,,,yes,
1093725222,1093725297,41.511210,unclassified,,,,,,,,,,
1093725274,1093725270,46.733213,unclassified,,,,,,,,,,
1093725270,1093725396,28.153737,unclassified,,,,,,,,,,
1093725396,1093725438,76.777120,unclassified,,,,,,,,,,
1093725438,1093725222,10.916484,unclassified,,,,,,,,,,
1093725222,1093725363,18.735350,unclassified,,,,,,,,,,
1093725363,1093725470,20.631675,unclassified,,,,,,,,,,
1093725470,1093725418,25.595987,unclassified,,,,,,,,,,
252052977,2099138607,55.357458,unclassified,yes,,,,,,,,,yes
2099138607,2099138615,4.287576,unclassified,yes,,,,,,,,,yes
2099138615,1093725411,55.247102,unclassified,yes,,,,,,,,,yes
1093725411,1096527426,29.714776,unclassified,yes,,,,,,,,,yes
1096527426,1933351821,22.304409,unclassified,yes,,,,,,,,,yes
1933351821,1093725344,9.132075,unclassified,yes,,,,,,,,,yes
1093725344,1093725276,39.288986,unclassified,yes,,,,,,,,,yes
1093725276,1096527603,22.689103,unclassified,yes,,,,,,,,,yes
1096527603,1093725403,18.794721,unclassified,yes,,,,,,,,,yes
1093725474,3809762411,3.851648,unclassified,,,,,,,,,,
3809762411,1093725398,57.258193,unclassified,,,,,,,,,,
1093725398,1093725386,54.199037,unclassified,,,,,,,,,,
1093725386,1093725209,30.257447,unclassified,,,,,,,,,,
1093725209,1093725376,0.859360,unclassified,,,,,,,,,,
1093725376,1096527364,62.552478,unclassified,,,,,,,,,,
1096527364,1093725434,24.146588,unclassified,,,,,,,,,,
1093725434,3809762399,98.992220,unclassified,,,,,,,,,,
3809762399,1093725482,8.767854,unclassified,,,,,,,,,,
1093725438,1093725216,25.706068,unclassified,,,,,,,,,,
1093725216,1093725280,17.132696,unclassified,,,,,,,,,,
1093725280,1093725446,25.502573,unclassified,,,,,,,,,,
1093725446,1093725460,18.552543,unclassified,,,,,,,,,,
1093725460,1093725463,45.063793,unclassified,,,,,,,,,,
1093725463,1093856380,16.016729,unclassified,,,,,,,,,,
1093856380,1093725468,7.594129,unclassified,,,,,,,,,,
1093725468,1093725269,20.570383,unclassified,,,,,,,,,,
1093725269,1093725465,46.918981,unclassified,,,,,,,,,,
1093725465,1093469840,24.520084,unclassified,,,,,,,,,,
393130770,1093725185,19.584616,unclassified,,,,,,,paved,,,
1093725185,1093725368,17.936823,unclassified,,,,,,,paved,,,
1093725368,1096526686,9.051528,unclassified,,,,,,,paved,,,
1096526686,1093725320,21.905242,unclassified,,,,,,,paved,,,
1093725320,1093725444,21.848441,unclassified,,,,,,,paved,,,
1093725444,1096526972,28.502892,unclassified,,,,,,,paved,,,
1096526972,1093725242,29.511791,unclassified,,,,,,,paved,,,
1093725242,1093725294,32.959043,unclassified,,,,,,,paved,,,
1093725294,1093725214,39.929741,unclassified,,,,,,,paved,,,
1093725214,1093725376,25.245211,unclassified,,,,,,,paved,,,
1093725376,3809762408,46.251423,unclassified,,,,,,,paved,,,
3809762408,1093725295,4.965448,unclassified,,,,,,,paved,,,
1093771047,1093771074,35.889651,unclassified,,,,,,,,,,
1093771074,1093771078,4.237822,unclassified,,,,,,,,,,
1093771078,1093771076,11.003825,unclassified,,,,,,,,,,
1093725220,1093856794,60.541260,footway,,,,,,,,,yes,
1093856794,1093856855,16.226302,footway,,,,,,,,,yes,
1093856855,1093856932,10.178685,footway,,,,,,,,,yes,
1093856932,1093856970,14.324388,footway,,,,,,,,,yes,
1093856970,1093856871,12.432798,footway,,,,,,,,,yes,
1093856871,1093856601,15.388855,footway,,,,,,,,,yes,
832286017,1094351317,113.756051,tertiary,,,2,,,,,,,
1094351317,1097942154,30.181309,tertiary,,,2,,,,,,,
1097942154,1094351500,114.443174,tertiary,,,2,,,,,,,
1094351500,5923786365,104.790558,tertiary,,,2,,,,,,,
5923786365,5922450062,5.689145,tertiary,,,2,,,,,,,
5922450062,1094547453,6.711360,tertiary,,,2,,,,,,,
1094547453,5923786362,4.872749,tertiary,,,2,,,,,,,
1094679544,1094679824,14.949832,unclassified,,,,,,,asphalt,,,
1094679824,1096526763,28.133692,unclassified,,,,,,,asphalt,,,
1096526763,3084665476,59.394976,unclassified,,,,,,,asphalt,,,
3084665476,1094678136,4.542035,unclassified,,,,,,,asphalt,,,
1094678136,5924055331,4.117249,unclassified,,,,,,,asphalt,,,
5924055331,5924055330,61.470270,unclassified,,,,,,,asphalt,,,
5924055330,5922051189,4.866787,unclassified,,,,,,,asphalt,,,
5922051189,393130757,10.619442,unclassified,,,,,,,asphalt,,,
1096527198,473485246,57.947516,unclassified,,,,,,,,,,
1096527107,1096527594,28.346074,unclassified,,,,,,,,,,
1096527594,1096527661,31.531740,unclassified,,,,,,,,,,
1096527661,1096527099,6.276180,unclassified,,,,,,,,,,
1096527099,1096527135,8.900549,unclassified,,,,,,,,,,
1096527135,1096527031,8.008877,unclassified,,,,,,,,,,
1096527031,1093626121,43.092964,unclassified,,,,,,,,,,
1096527594,1096527113,36.675355,unclassified,,,,,,,,,,
1096527113,1096527229,15.898115,unclassified,,,,,,,,,,
1096527229,1096527532,89.732118,unclassified,,,,,,,,,,
1096527532,1096527191,19.055309,unclassified,,,,,,,,,,
1096527191,1096527368,34.196154,unclassified,,,,,,,,,,
1096527368,5676310270,13.612394,unclassified,,,,,,,,,,
5676310270,1096527075,18.886108,unclassified,,,,,,,,,,
1096527075,1096526759,23.669970,unclassified,,,,,,,,,,
1096526759,1096527850,15.233205,unclassified,,,,,,,,,,
1096527850,1096527203,39.906004,unclassified,,,,,,,,,,
1096527532,1096527357,17.967190,unclassified,,,,,,,,,,
1096527357,1096527928,34.034776,unclassified,,,,,,,,,,
1096527928,1096527196,36.503833,unclassified,,,,,,,,,,
1096527964,1096527568,20.468035,unclassified,,,,,,,,,,
1096527568,1114292041,18.440814,unclassified,,,,,,,,,,
1114292041,1096527925,12.224949,unclassified,,,,,,,,,,
1096527925,1096527104,18.603881,unclassified,,,,,,,,,,
1096527104,1189065299,14.362640,unclassified,,,,,,,,,,
1189065299,1096527499,10.490071,unclassified,,,,,,,,,,
1096527499,1096527536,25.410143,unclassified,,,,,,,,,,
1096527536,1096527021,7.171316,unclassified,,,,,,,,,,
1096527021,1096526912,7.370761,unclassified,,,,,,,,,,
1096526912,1096527878,11.414580,unclassified,,,,,,,,,,
1096527878,1096527025,6.648077,unclassified,,,,,,,,,,
1096527025,1096526988,32.365182,unclassified,,,,,,,,,,
1096526988,1096527132,6.779269,unclassified,,,,,,,,,,
1096527132,1096527436,49.465856,unclassified,,,,,,,,,,
1096527807,3809762403,8.724965,unclassified,,,,,,,,,,
3809762403,1096527428,16.788495,unclassified,,,,,,,,,,
1096527428,1096526953,58.655404,unclassified,,,,,,,,,,
1096526953,1097936214,4.478657,unclassified,,,,,,,,,,
1097936214,1096527897,3.860978,unclassified,,,,,,,,,,
1096527897,1096527303,4.352037,unclassified,,,,,,,,,,
1096527303,1096526830,21.198406,unclassified,,,,,,,,,,
1096526830,1096527334,39.170558,unclassified,,,,,,,,,,
